gene,pathway,database,cluster
NAA15,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C3
AP1M1,Unmapped,NA,C3
UBE2O,Unmapped,NA,C3
ANKRD2,Unmapped,NA,C3
NAA50,Unmapped,NA,C3
TOLLIP,Unmapped,NA,C3
RAB1B,Unmapped,NA,C3
NUCKS1,Unmapped,NA,C3
SLK,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C3
LRMDA,Unmapped,NA,C3
TMEM245,Unmapped,NA,C3
BOLA2,Unmapped,NA,C3
TMX1,Unmapped,NA,C3
CHMP4B,GOBP_CELL_DIVISION,GO:BP,C3
TOR1AIP2,Unmapped,NA,C3
GLIPR2,Unmapped,NA,C3
EHD1,GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_TRANSPORT,GO:BP,C3
UBE2Z,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C3
GORASP2,Unmapped,NA,C3
JPT2,Unmapped,NA,C3
CACYBP,HALLMARK_MTORC1_SIGNALING,Hallmark,C3
PREB,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Hallmark,C3
APMAP,Unmapped,NA,C3
RAB18,Unmapped,NA,C3
PALMD,Unmapped,NA,C3
VTA1,Unmapped,NA,C3
TIGAR,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C3
RTN4,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C3
XPNPEP1,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C3
SAR1A,GOBP_VESICLE_BUDDING_FROM_MEMBRANE,GO:BP,C3
SH3GLB2,Unmapped,NA,C3
FARSB,Unmapped,NA,C3
MAN2C1,Unmapped,NA,C3
ARL8B,GOBP_MICROTUBULE_BASED_MOVEMENT,GO:BP,C3
DPP3,Unmapped,NA,C3
ERAP1,Unmapped,NA,C3
FAM120A,Unmapped,NA,C3
MAT2B,Unmapped,NA,C3
LMCD1,Unmapped,NA,C3
CHMP5,GOBP_CELL_DIVISION,GO:BP,C3
CNIH4,Unmapped,NA,C3
EMC3,Unmapped,NA,C3
MRPL36,Unmapped,NA,C3
LARS1,Unmapped,NA,C3
DPM3,Unmapped,NA,C3
GNG12,Unmapped,NA,C3
EIF3K,Unmapped,NA,C3
CTSZ,Unmapped,NA,C3
HSPB7,Unmapped,NA,C3
MLX,Unmapped,NA,C3
SEPTIN9,HALLMARK_MITOTIC_SPINDLE,Hallmark,C3
UBQLN2,Unmapped,NA,C3
BCAP29,Unmapped,NA,C3
CYB5R1,Unmapped,NA,C3
XPO7,Unmapped,NA,C3
NAGK,Unmapped,NA,C3
DBNL,Unmapped,NA,C3
DCTN4,Unmapped,NA,C3
VPS28,Unmapped,NA,C3
APPL1,GOBP_REGULATION_OF_CELL_CYCLE_G1_S_PHASE_TRANSITION,GO:BP,C3
PSME2,GOBP_REGULATION_OF_CELL_CYCLE_G1_S_PHASE_TRANSITION,GO:BP,C3
TMCO1,Unmapped,NA,C3
UBQLN1,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C3
STUB1,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C3
PACSIN2,Unmapped,NA,C3
PSMD13,HALLMARK_MTORC1_SIGNALING,Hallmark,C3
LIMCH1,Unmapped,NA,C3
MAPRE3,GOBP_CELL_DIVISION,GO:BP,C3
RUVBL2,GOBP_REGULATION_OF_PROGRAMMED_CELL_DEATH,GO:BP,C3
EIF3L,Unmapped,NA,C3
NUDC,GOBP_CELL_DIVISION,GO:BP,C3
FARSA,Unmapped,NA,C3
