gene,pathway,database,cluster
HSDL2,HALLMARK_FATTY_ACID_METABOLISM,Hallmark,C3
UBE2R2,Unmapped,NA,C3
TRMT10C,GOCC_NUCLEOID,GO:CC,C3
ERMP1,Unmapped,NA,C3
MRPL21,Unmapped,NA,C3
DGLUCY,Unmapped,NA,C3
MAVS,Unmapped,NA,C3
HDDC2,Unmapped,NA,C3
DCXR,Unmapped,NA,C3
GLRX5,Unmapped,NA,C3
ISCA2,Unmapped,NA,C3
NLRX1,Unmapped,NA,C3
MDP1,Unmapped,NA,C3
SLC25A42,GOBP_AMIDE_METABOLIC_PROCESS,GO:BP,C3
LDHD,Unmapped,NA,C3
ECHDC2,Unmapped,NA,C3
NAXD,Unmapped,NA,C3
MFN1,GOCC_OUTER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX,GO:CC,C3
HSCB,Unmapped,NA,C3
ADHFE1,Unmapped,NA,C3
SUPV3L1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3
THNSL1,Unmapped,NA,C3
MICU2,GOCC_ORGANELLE_ENVELOPE_LUMEN,GO:CC,C3
FAM185A,Unmapped,NA,C3
NDUFAF2,Unmapped,NA,C3
GPD1L,Unmapped,NA,C3
CMYA5,Unmapped,NA,C3
TOMM5,GOCC_OUTER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX,GO:CC,C3
CHCHD4,GOCC_ORGANELLE_ENVELOPE_LUMEN,GO:CC,C3
CBR4,GOBP_AMIDE_METABOLIC_PROCESS,GO:BP,C3
SMIM20,Unmapped,NA,C3
ATPAF2,Unmapped,NA,C3
MRPL50,Unmapped,NA,C3
RDH13,Unmapped,NA,C3
ATAD1,Unmapped,NA,C3
SCCPDH,Unmapped,NA,C3
PDPR,Unmapped,NA,C3
NAXE,Unmapped,NA,C3
CHDH,Unmapped,NA,C3
MCU,Unmapped,NA,C3
ABHD11,Unmapped,NA,C3
PPTC7,Unmapped,NA,C3
COQ8A,Unmapped,NA,C3
NUBPL,Unmapped,NA,C3
PNPT1,GOCC_ORGANELLE_ENVELOPE_LUMEN,GO:CC,C3
GPT2,Unmapped,NA,C3
SMIM4,Unmapped,NA,C3
SCFD1,Unmapped,NA,C3
SPRYD4,Unmapped,NA,C3
RTN4IP1,Unmapped,NA,C3
THAP4,Unmapped,NA,C3
HSD17B8,Unmapped,NA,C3
CPT1B,GOCC_ORGANELLE_ENVELOPE_LUMEN,GO:CC,C3
AKAP1,Unmapped,NA,C3
