pathway,padj,NES,size,leadingEdge,database,pval,ES,log2err,contrast
GOBP_POSITIVE_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY,0.8752463370748008,-0.8924633434244246,23,PPP2R1A;BCAP31;CLU;AGT;PAK2;PDIA3;PARK7;SOD1;EIF5A,GO:BP,0.6211981566820276,-0.26885168453125646,0.02374948084657605,Interaction
GOBP_REGULATION_OF_BODY_FLUID_LEVELS,0.8752463370748008,0.9108860516055354,55,COL3A1;STXBP3;CTSG;ACTB;MT-CO2;ACTN1;CAV1,GO:BP,0.6224641266699653,0.2381057538131668,0.018532368860394256,Interaction
GOBP_CELLULAR_SENESCENCE,0.8755439805289907,0.880793434605359,16,NDUFS6;LMNA;MAP2K4;PRELP;MAP2K6;DNAJA3,GO:BP,0.624214118915035,0.30798713857792953,0.019771565433776606,Interaction
GOBP_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY,0.8755439805289907,0.9011058824317908,33,TWF2;ACTN2;TRIM54;TMOD4;CAPZA1;LMOD2,GO:BP,0.6241645244215939,0.2620776006748905,0.01906417145296981,Interaction
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,0.8760788219582195,-0.8747426149143632,16,TXNDC12;CLU;HYOU1;PARK7;HSPA5;HSPA1A,GO:BP,0.62728297632469,-0.29203959298133764,0.023241420454285077,Interaction
GOBP_POSITIVE_REGULATION_OF_MACROAUTOPHAGY,0.8760788219582195,-0.8928312433401825,25,STUB1;PRKAA2;SH3GLB1,GO:BP,0.6271305159934625,-0.26341100300266074,0.02380993804671546,Interaction
GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_INVOLVED_IN_INFLAMMATORY_RESPONSE,0.8760788219582195,0.8666715852146594,12,HMOX1;STAT3;RPS19;KPNA6;SNX6,GO:BP,0.6275333211612196,0.3274894999964626,0.01993837645825695,Interaction
GOBP_REGULATION_OF_PROTEIN_BINDING,0.8760788219582195,-0.8757868327737689,16,USP9X;ADIPOQ;NES;RAN;ADD1,GO:BP,0.6263810597519729,-0.29238821319652464,0.02326459263003914,Interaction
GOBP_ZYMOGEN_ACTIVATION,0.8760788219582195,-0.8674135014212498,10,CLEC3B;CTSZ;HP;ANXA2,GO:BP,0.6256602112676056,-0.3344693930903125,0.022893346901091443,Interaction
GOBP_MITOCHONDRIAL_FUSION,0.8764310747663551,-0.8647365738595113,10,MFN2;TFRC;VAT1,GO:BP,0.6289612676056338,-0.3334371860339842,0.02280924364821832,Interaction
