"gene","cv_pre","cv_post","delta_cv","age"
"LANCL1",27.5992388735719,16.0026132308159,-11.596625642756,"Young"
"SLC37A4",37.7029470982527,31.945111317455,-5.75783578079767,"Young"
"IDH3B",29.6299022914456,25.554946387308,-4.07495590413762,"Young"
"CALU",25.8693346011611,28.1136700494403,2.24433544827918,"Young"
"AHCYL1",26.21727156505,14.9639597273459,-11.253311837704,"Young"
"NDUFS5",18.9024835784574,48.4945870720679,29.5921034936105,"Young"
"TIMM8A",59.4221420221602,46.6951276942215,-12.7270143279387,"Young"
"PPP1R12B",32.1382995851285,36.5305757547375,4.392276169609,"Young"
"PRPSAP2",31.9154109685011,36.6644810441874,4.74907007568629,"Young"
"SPAG9",19.5740986100993,34.0814109487121,14.5073123386128,"Young"
"OPA1",15.6931854137642,18.2990582704294,2.60587285666519,"Young"
"TBC1D4",26.2798657929994,18.9749123983412,-7.30495339465818,"Young"
"SNX3",15.5657826731467,15.7521201809764,0.186337507829732,"Young"
"SYNCRIP",16.8149032201226,15.4893466721205,-1.32555654800216,"Young"
"KLHL41",46.1957547424248,70.6898144237995,24.4940596813747,"Young"
"PLIN3",21.1155434692288,24.1244535134471,3.0089100442183,"Young"
"KPNA6",15.8561098593298,22.7415232934499,6.88541343412005,"Young"
"SNX2",17.0010378046267,20.2694847663484,3.26844696172171,"Young"
"USO1",16.3202472571271,17.9219516053907,1.60170434826361,"Young"
"TOM1",18.3525253678693,20.812774173409,2.4602488055397,"Young"
"PFKFB2",24.5692646799505,31.3533050101629,6.78404033021245,"Young"
"EDF1",18.8747947997521,31.3994279136781,12.5246331139261,"Young"
"DNAJA2",14.4688270013521,13.6388201330751,-0.83000686827698,"Young"
"CUTA",43.7635732658368,36.6475086007547,-7.11606466508213,"Young"
"PFDN1",15.9490971686185,17.5240228963423,1.57492572772378,"Young"
"NOL3",26.4910647628165,20.3977912386965,-6.09327352412,"Young"
"WDR1",18.9464765318484,16.755273792566,-2.19120273928235,"Young"
